Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Tissue Expression	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	LIN52_HUMAN	Protein lin-52 homolog	6c48B	chain B	6c48AB	LIN52_HUMAN - LIN9_HUMAN	-9.205	-30.387	63	78	80.77%	No expression data available	1.5	0.98531299	1.211538462	1.193744584	-10.98841889																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	PPIH_HUMAN	Peptidyl-prolyl cis-trans isomerase H	5o9zM	chain M	5o9zMQ	PPIH_HUMAN - WBP4_HUMAN	-5.075	-6.3	15	15	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.209159365	0.5	0.104579683	-0.530741889																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	5huzB	chain B	5huzAB	MYPT1_HUMAN - MYPT1_HUMAN	-15.44	-12.668	29	44	65.91%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.265027401	0.659090909	0.17467715	-2.697015201																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	chain B	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-10.942	-23.841	39	42	92.86%	No expression data available	1.0	0.975792773	0.928571429	0.906093289	-9.914472766																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	STK3_HUMAN	Serine/threonine-protein kinase 3	4l0nH	chain H	4l0nGH	STK3_HUMAN - STK3_HUMAN	-5.123	-25.343	40	51	78.43%	No expression data available	1.5	0.930999191	1.176470588	1.095293166	-5.61118689																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	C4BPA_HUMAN	C4b-binding protein alpha chain	4b0fA	chain A	4b0fAF	C4BPA_HUMAN - C4BPA_HUMAN	-7.167	-18.523	27	35	77.14%	No expression data available	1.0	0.948068447	0.771428571	0.731367087	-5.241707916																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	chain B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-7.257	-10.954	27	32	84.38%	No expression data available	1.0	0.0	0.84375	0	0																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	C4BPA_HUMAN	C4b-binding protein alpha chain	4b0fC	chain C	4b0fAC	C4BPA_HUMAN - C4BPA_HUMAN	-11.129	-18.985	27	32	84.38%	No expression data available	1.0	0.853304236	0.84375	0.719975449	-8.012606776																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	GRP1_HUMAN	RAS guanyl-releasing protein 1	4l9uB	chain B	4l9uAB	GRP1_HUMAN - GRP1_HUMAN	-10.567	-20.211	37	42	88.10%	No expression data available	1.0	0.781480089	0.880952381	0.688446745	-7.274816752																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	HVCN1_HUMAN	Voltage-gated hydrogen channel 1	3a2aB	chain B	3a2aAB	HVCN1_HUMAN - HVCN1_HUMAN	-8.055	-21.108	37	41	90.24%	No expression data available	1.0	0.719951511	0.902439024	0.649712339	-5.233432891																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	RFIP3_HUMAN	Rab11 family-interacting protein 3	2hv8F	chain F	2hv8EF	RFIP3_HUMAN - RFIP3_HUMAN	-5.557	-15.149	36	38	94.74%	adrenal gland, appendix, bone marrow, breast, bronchus, cervix, uterine, colon, duodenum, endometrium 2, epididymis, fallopian tube, gallbladder, kidney, liver, nasopharynx, oral mucosa, parathyroid gland, prostate, rectum, seminal vesicle, small intestine, smooth muscle, testis, thyroid gland, tonsil, urinary bladder	1.0	0.16930599	0.947368421	0.160395149	-0.891315842																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	STK4_HUMAN	Serine/threonine-protein kinase 4	4oh8A	chain A	4oh8AB	STK4_HUMAN - RASF5_HUMAN	-6.109	-23.65	31	46	67.39%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.814245665	0.673913043	0.548730774	-3.352196301																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4n3xC	chain C	4n3xAC	RABX5_HUMAN - RABX5_HUMAN	-5.031	-13.789	37	49	75.51%	No expression data available	1.0	0.011805736	0.755102041	0.008914535	-0.044849028																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	DCP1A_HUMAN	mRNA-decapping enzyme 1A	2wx3B	chain B	2wx3BC	DCP1A_HUMAN - DCP1A_HUMAN	-12.167	-17.388	28	44	63.64%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, liver, lymph node, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skin 1, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder	1.0	0.209159365	0.636363636	0.133101414	-1.619444907																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	VIME_HUMAN	Vimentin	3g1eB	chain B	3g1eAB	VIME_HUMAN - VIME_HUMAN	-9.429	-17.106	28	32	87.50%	No expression data available	1.0	0.167576921	0.875	0.146629806	-1.382572439																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	GABR2_HUMAN	Gamma-aminobutyric acid type B receptor subunit 2	4pasB	chain B	4pasAB	GABR2_HUMAN - GABR1_HUMAN	-9.818	-21.342	31	35	88.57%	No expression data available	1.0	0.576074139	0.885714286	0.510237094	-5.009507792																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	BNIP3_HUMAN	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	2j5dA	chain A	2j5dAB	BNIP3_HUMAN - BNIP3_HUMAN	-5.387	-7.82	33	33	100.00%	No expression data available	1.0	0.336868545	1.0	0.336868545	-1.814710852																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	FOSB_HUMAN	Protein fosB	5vpaA	chain A	5vpaAB	FOSB_HUMAN - JUND_HUMAN	-5.325	-24.908	42	50	84.00%	appendix, bronchus, cervix, uterine, esophagus, fallopian tube, gallbladder, kidney, lymph node, nasopharynx, oral mucosa, ovary, placenta, rectum, salivary gland, skin 2, soft tissue 1, soft tissue 2, spleen, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.420589279	1.26	0.529942491	-2.821943765																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1	4pasA	chain A	4pasAB	GABR1_HUMAN - GABR2_HUMAN	-10.258	-21.342	30	36	83.33%	No expression data available	1.0	0.576074139	0.833333333	0.480061782	-4.924473762																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	NUP54_HUMAN	Nucleoporin p54	4jnuA	chain A	4jnuAD	NUP54_HUMAN - NUP54_HUMAN	-8.744	-17.834	33	40	82.50%	adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina	1.0	0.175932169	0.825	0.145144039	-1.269139479																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	NUP54_HUMAN	Nucleoporin p54	4jo9A	chain A	4jo9AB	NUP54_HUMAN - NUP58_HUMAN	-7.231	-19.364	44	68	64.71%	adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina	1.5	0.459813388	0.970588235	0.446289465	-3.227119119																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	CTIP_HUMAN	DNA endonuclease RBBP8	4d2hA	chain A	4d2hAC	CTIP_HUMAN - CTIP_HUMAN	-7.027	-12.449	19	19	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.162465063	0.5	0.081232531	-0.570820997																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2meuB	chain B	2meuAB	VGFR2_HUMAN - VGFR2_HUMAN	-5.136	-6.608	34	35	97.14%	No expression data available	1.0	0.345504839	0.971428571	0.335633272	-1.723812484																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	TSC1_HUMAN	Hamartin	5ejcC	chain C	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-9.047	-18.024	29	34	85.29%	No expression data available	1.0	0.737698633	0.852941176	0.62921354	-5.692494893																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4n3yA	chain A	4n3yAC	RABX5_HUMAN - RABE1_HUMAN	-6.881	-16.3	38	38	100.00%	No expression data available	1.0	0.056443806	1.0	0.056443806	-0.388389829																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	MBD2_HUMAN	Methyl-CpG-binding domain protein 2	2l2lB	chain B	2l2lAB	MBD2_HUMAN - P66A_HUMAN	-9.528	-10.563	32	32	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.124358178	1.0	0.124358178	-1.184884724																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4n3yA	chain A	4n3yAB	RABX5_HUMAN - RABE1_HUMAN	-5.159	-9.856	29	42	69.05%	No expression data available	1.0	0.052749265	0.69047619	0.036422112	-0.187901675																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	AFF4_HUMAN	AF4/FMR2 family member 4	5jw9A	chain A	5jw9AB	AFF4_HUMAN - ELL2_HUMAN	-10.158	-24.51	53	79	67.09%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.995094416	1.006329114	1.001392482	-10.17214483																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	ASH2L_HUMAN	Set1/Ash2 histone methyltransferase complex subunit ASH2	4riqC	chain C	4riqAC	ASH2L_HUMAN - DPY30_HUMAN	-7.271	-9.038	22	22	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, skin 2, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.209159365	0.5	0.104579683	-0.760398872																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	MAX_HUMAN	Protein max	1r05B	chain B	1r05AB	MAX_HUMAN - MAX_HUMAN	-5.603	-3.543	51	65	78.46%	No expression data available	1.5	0.979119393	1.176923077	1.152348208	-6.456607012																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	NUP54_HUMAN	Nucleoporin p54	4jnvC	chain C	4jnvBC	NUP54_HUMAN - NUP54_HUMAN	-5.561	-13.013	26	30	86.67%	adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina	1.0	0.162465063	0.866666667	0.140803054	-0.783005785																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	4auvF	chain F	4auvFG	BRMS1_HUMAN - BRMS1_HUMAN	-5.989	-3.31	20	20	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.162465063	0.5	0.081232531	-0.48650163																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	RHG07_HUMAN	Rho GTPase-activating protein 7	5fztB	chain B	5fztAB	RHG07_HUMAN - TLN1_MOUSE	-6.516	-19.501	52	57	91.23%	No expression data available	1.5	0.92488116	1.368421053	1.26562685	-8.246824556																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	INS_HUMAN	Insulin	1evrE	chain E	1evrEF	INS_HUMAN - INS_HUMAN	-8.098	-10.7	17	26	65.38%	No expression data available	0.5	0.526626904	0.326923077	0.172166488	-1.394204218																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	INS_HUMAN	Insulin	3rovK	chain K	3rovKL	INS_HUMAN - INS_HUMAN	-7.372	-9.349	17	25	68.00%	No expression data available	0.5	0.405708943	0.34	0.13794104	-1.01690135																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	4auvD	chain D	4auvAD	BRMS1_HUMAN - BRMS1_HUMAN	-5.237	-6.522	22	22	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.162465063	0.5	0.081232531	-0.425414766																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	IST1_HUMAN	IST1 homolog	4wzxE	chain E	4wzxAE	IST1_HUMAN - ULK3_HUMAN	-8.68	-10.644	42	43	97.67%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.805204233	0.976744186	0.786478553	-6.826633842																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	INS_HUMAN	Insulin	2w44A	chain A	2w44AB	INS_HUMAN - INS_HUMAN	-6.187	-7.938	20	29	68.97%	No expression data available	0.5	0.550352252	0.344827586	0.189776639	-1.174148063																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	LPXN_HUMAN	Leupaxin	4xefB	chain B	4xefAB	LPXN_HUMAN - FAK2_HUMAN	-5.14	-8.768	37	43	86.05%	No expression data available	1.0	0.568469331	0.860465116	0.489148029	-2.514220868																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	CCM2_HUMAN	Cerebral cavernous malformations 2 protein	4tvqE	chain E	4tvqCE	CCM2_HUMAN - PDC10_HUMAN	-7.577	-12.75	44	49	89.80%	No expression data available	1.0	0.849252926	0.897959184	0.762594464	-5.778178255																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	CHM1B_HUMAN	Charged multivesicular body protein 1b	4txrB	chain B	4txrAB	CHM1B_HUMAN - VTA1_HUMAN	-6.118	-8.266	41	57	71.93%	No expression data available	1.5	0.727789051	1.078947368	0.785246081	-4.804135525																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	IST1_HUMAN	IST1 homolog	4u7yB	chain B	4u7yAB	IST1_HUMAN - VPS4B_HUMAN	-6.683	-10.612	33	36	91.67%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.63307017	0.916666667	0.580314323	-3.878240617																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	PAXI_HUMAN	Paxillin	3u3fG	chain G	3u3fCG	PAXI_HUMAN - FAK2_HUMAN	-5.517	-8.302	28	32	87.50%	No expression data available	1.0	0.485354784	0.875	0.424685436	-2.342989551																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	PAXI_HUMAN	Paxillin	3gm1E	chain E	3gm1AE	PAXI_HUMAN - FAK2_HUMAN	-6.378	-7.667	36	43	83.72%	No expression data available	1.0	0.585770383	0.837209302	0.490412414	-3.127850376																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	CHM1A_HUMAN	Charged multivesicular body protein 1a	2ymbF	chain F	2ymbCF	CHM1A_HUMAN - MITD1_HUMAN	-7.751	-11.48	47	48	97.92%	No expression data available	1.0	0.604701824	0.979166667	0.592103869	-4.58939709																																																																																	
6t5aC	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	PAXI_HUMAN	Paxillin	1ow7D	chain D	1ow7AD	PAXI_HUMAN - FAK1_HUMAN	-5.528	-10.357	38	41	92.68%	No expression data available	1.0	0.471702102	0.926829268	0.437187314	-2.41677147																																																																																	
3f0tA	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	VPS35_HUMAN	Vacuolar protein sorting-associated protein 35	5f0kA	chain A	5f0kAB	VPS35_HUMAN - VPS35_HUMAN	-5.334	-10.999	48	56	85.71%	No expression data available	1.5	0.053915692	1.285714286	0.069320175	-0.369753815																																																																																	
3f0tA	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	CSN5_HUMAN	COP9 signalosome complex subunit 5	4d10E	chain E	4d10BE	CSN5_HUMAN - CSN2_HUMAN	-5.907	-8.598	25	25	100.00%	No expression data available	0.5	0.044996018	0.5	0.022498009	-0.132895739																																																																																	
3f0tA	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	CSF3R_HUMAN	Granulocyte colony-stimulating factor receptor	2d9qB	chain B	2d9qAB	CSF3R_HUMAN - CSF3_HUMAN	-7.124	-6.155	32	33	96.97%	No expression data available	1.0	0.61476285	0.96969697	0.596133673	-4.246856287																																																																																	
3f0tA	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	GHR_HUMAN	Growth hormone receptor	1hwgC	chain C	1hwgAC	GHR_HUMAN - SOMA_HUMAN	-5.944	-8.871	37	40	92.50%	No expression data available	1.0	0.457819861	0.925	0.423483371	-2.51718516																																																																																	
3f0tA	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	HCN4_HUMAN	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	4kl1C	chain C	4kl1AC	HCN4_HUMAN - HCN4_HUMAN	-6.939	-13.905	34	40	85.00%	No expression data available	1.0	0.109996011	0.85	0.093496609	-0.64877297																																																																																	
3f0tA	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	DBLOH_HUMAN	Diablo homolog, mitochondrial	4tx5B	chain B	4tx5AB	DBLOH_HUMAN - DBLOH_HUMAN	-6.948	-24.428	50	56	89.29%	No expression data available	1.5	0.919518974	1.339285714	1.231498626	-8.556452452																																																																																	
3f0tA	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain	1r5iA	chain A	1r5iAD	DRA_HUMAN - Q48898_MYCAT	-5.151	-12.085	43	46	93.48%	No expression data available	1.0	0.725928724	0.934782609	0.678585546	-3.495394149																																																																																	
