Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-10.267	-18.038	23	44	52.27%	No expression data available	1	0.415689296	0.522727273	0.217292132	-2.230938318
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88B	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-8.327	-18.038	23	43	53.49%	No expression data available	1	0.415689296	0.534883721	0.222345437	-1.851470457
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	BMAL1_HUMAN	Aryl hydrocarbon receptor nuclear translocator-like protein 1	4h10A	4h10AB	BMAL1_HUMAN - CLOCK_HUMAN	-9.757	-21.641	20	38	52.63%	No expression data available	1	0.677989202	0.526315789	0.356836422	-3.48165297
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	VIME_HUMAN	Vimentin	3kltC	3kltCD	VIME_HUMAN - VIME_HUMAN	-6.848	-11.356	24	37	64.86%	No expression data available	1	0.030935263	0.648648649	0.020066117	-0.137412766
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	DPY30_HUMAN	Protein dpy-30 homolog	4rt4B	4rt4BE	DPY30_HUMAN - BRE2_YEAST	-7.835	-7.874	20	20	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.636456883
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	TRI63_HUMAN	E3 ubiquitin-protein ligase TRIM63	4m3lC	4m3lAC	TRI63_HUMAN - TRI63_HUMAN	-8.938	-14.869	24	39	61.54%	No expression data available	1	0.162465063	0.615384615	0.0999785	-0.893607833
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NEMO_HUMAN	NF-kappa-B essential modulator	3brvD	3brvAD	NEMO_HUMAN - IKKB_HUMAN	-9.806	-18.088	24	39	61.54%	No expression data available	1	0.153538513	0.615384615	0.094485239	-0.926522251
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	HOME3_HUMAN	Homer protein homolog 3	3cvfD	3cvfAD	HOME3_HUMAN - HOME3_HUMAN	-8.555	-9.216	23	32	71.88%	No expression data available	1	0	0.71875	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-13.58	-20.884	23	42	54.76%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.547619048	0.115195573	-1.564355886
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	JUN_HUMAN	Transcription factor AP-1	1a02J	1a02FJ	JUN_HUMAN - FOS_HUMAN	-12.421	-20.486	24	35	68.57%	No expression data available	1	0.173400927	0.685714286	0.118903493	-1.476900284
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	C4BPA_HUMAN	C4b-binding protein alpha chain	4b0fA	4b0fAF	C4BPA_HUMAN - C4BPA_HUMAN	-13.19	-18.523	24	35	68.57%	No expression data available	1	0.948068447	0.685714286	0.650104078	-8.574872786
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	APC_HUMAN	Adenomatous polyposis coli protein	1debA	1debAB	APC_HUMAN - APC_HUMAN	-11.796	-24.884	24	45	53.33%	No expression data available	1	0.648199149	0.533333333	0.345706213	-4.077950488
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	SYCY2_HUMAN	Syncytin-2	1y4mA	1y4mAB	SYCY2_HUMAN - SYCY2_HUMAN	-11.173	-24.04	23	36	63.89%	No expression data available	1	0.859858889	0.638888889	0.54935429	-6.137935486
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1	5zkoC	5zkoAC	CREB1_HUMAN - CREB1_HUMAN	-7.939	-18.829	23	37	62.16%	No expression data available	1	0.068354302	0.621621622	0.042490512	-0.337332174
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	TRI63_HUMAN	E3 ubiquitin-protein ligase TRIM63	4m3lD	4m3lCD	TRI63_HUMAN - TRI63_HUMAN	-5.243	-5.198	19	19	100.00%	No expression data available	0.5	0	0.5	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PPLA_HUMAN	Cardiac phospholamban	2hynB	2hynAB	PPLA_HUMAN - PPLA_HUMAN	-6.481	-11.271	23	30	76.67%	No expression data available	1	0.021030453	0.766666667	0.016123347	-0.104495412
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	DMRT1_HUMAN	Doublesex- and mab-3-related transcription factor 1	4yj0A	4yj0AB	DMRT1_HUMAN - DMRT1_HUMAN	-7.98	-12.556	23	27	85.19%	No expression data available	0.5	0.162465063	0.425925926	0.069198082	-0.552200696
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	FOS_HUMAN	Proto-oncogene c-Fos	1a02F	1a02FJ	FOS_HUMAN - JUN_HUMAN	-9.78	-20.486	24	36	66.67%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.173400927	0.666666667	0.115600618	-1.130574044
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-10.99	-23.841	24	42	57.14%	No expression data available	1	0.975792773	0.571428571	0.55759587	-6.127978611
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	C4BPA_HUMAN	C4b-binding protein alpha chain	4b0fC	4b0fAC	C4BPA_HUMAN - C4BPA_HUMAN	-9.27	-18.985	24	32	75.00%	No expression data available	1	0.853304236	0.75	0.639978177	-5.932597703
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-11.882	-14.446	23	35	65.71%	No expression data available	1	0.254243896	0.657142857	0.16707456	-1.985179923
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	AZI2_HUMAN	5-azacytidine-induced protein 2	5z7gD	5z7gCD	AZI2_HUMAN - AZI2_HUMAN	-9.607	-23.575	24	41	58.54%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.175972472	0.585365854	0.103008276	-0.98960051
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	RFIP3_HUMAN	Rab11 family-interacting protein 3	2d7cC	2d7cCD	RFIP3_HUMAN - RFIP3_HUMAN	-11.817	-15.072	24	38	63.16%	"adrenal gland, appendix, bone marrow, breast, bronchus, cervix, uterine, colon, duodenum, endometrium 2, epididymis, fallopian tube, gallbladder, kidney, liver, nasopharynx, oral mucosa, parathyroid gland, prostate, rectum, seminal vesicle, small intestine, smooth muscle, testis, thyroid gland, tonsil, urinary bladder"	1	0.327055123	0.631578947	0.20656113	-2.440932873
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	HVCN1_HUMAN	Voltage-gated hydrogen channel 1	3a2aB	3a2aAB	HVCN1_HUMAN - HVCN1_HUMAN	-9.963	-21.108	24	41	58.54%	No expression data available	1	0.719951511	0.585365854	0.421435031	-4.198757211
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PPLA_HUMAN	Cardiac phospholamban	1zllB	1zllAB	PPLA_HUMAN - PPLA_HUMAN	-8.378	-11.355	19	19	100.00%	No expression data available	0.5	0	0.5	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	RFIP3_HUMAN	Rab11 family-interacting protein 3	4uj3I	4uj3FI	RFIP3_HUMAN - RFIP3_HUMAN	-10.936	-13.727	24	35	68.57%	"adrenal gland, appendix, bone marrow, breast, bronchus, cervix, uterine, colon, duodenum, endometrium 2, epididymis, fallopian tube, gallbladder, kidney, liver, nasopharynx, oral mucosa, parathyroid gland, prostate, rectum, seminal vesicle, small intestine, smooth muscle, testis, thyroid gland, tonsil, urinary bladder"	1	0.209159365	0.685714286	0.143423565	-1.568480104
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	P63_HUMAN	Tumor protein 63	2nb1A	2nb1AB	P63_HUMAN - P73_HUMAN	-5.782	-8.063	18	28	64.29%	No expression data available	0.5	0.32959884	0.321428571	0.105942484	-0.612559444
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	KGP1_HUMAN	cGMP-dependent protein kinase 1	4r4lB	4r4lBC	KGP1_HUMAN - KGP1_HUMAN	-7.052	-9.844	24	25	96.00%	No expression data available	0.5	0.207449355	0.48	0.099575691	-0.70220777
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	GABR2_HUMAN	Gamma-aminobutyric acid type B receptor subunit 2	4pasB	4pasAB	GABR2_HUMAN - GABR1_HUMAN	-9.546	-21.342	23	35	65.71%	No expression data available	1	0.576074139	0.657142857	0.378563005	-3.61376245
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NUP54_HUMAN	Nucleoporin p54	4jnuD	4jnuAD	NUP54_HUMAN - NUP54_HUMAN	-9.8	-17.834	23	36	63.89%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.175932169	0.638888889	0.112401108	-1.101530857
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PGFRB_HUMAN	Platelet-derived growth factor receptor beta	2l6wA	2l6wAB	PGFRB_HUMAN - PGFRB_HUMAN	-9.327	-10.311	24	25	96.00%	No expression data available	0.5	0.162465063	0.48	0.07798323	-0.727349587
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	GRP1_HUMAN	RAS guanyl-releasing protein 1	4l9uB	4l9uAB	GRP1_HUMAN - GRP1_HUMAN	-7.118	-20.211	23	42	54.76%	No expression data available	1	0.781480089	0.547619048	0.427953382	-3.046172172
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	RFIP3_HUMAN	Rab11 family-interacting protein 3	2d7cD	2d7cCD	RFIP3_HUMAN - RFIP3_HUMAN	-10.242	-15.072	24	38	63.16%	"adrenal gland, appendix, bone marrow, breast, bronchus, cervix, uterine, colon, duodenum, endometrium 2, epididymis, fallopian tube, gallbladder, kidney, liver, nasopharynx, oral mucosa, parathyroid gland, prostate, rectum, seminal vesicle, small intestine, smooth muscle, testis, thyroid gland, tonsil, urinary bladder"	1	0.327055123	0.631578947	0.20656113	-2.115599094
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	2kygB	2kygBC	KAP2_HUMAN - MTG8_HUMAN	-5.432	-10.608	24	30	80.00%	No expression data available	1	0.265027401	0.8	0.21202192	-1.151703072
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	GEMI_HUMAN	Geminin	1t6fB	1t6fAB	GEMI_HUMAN - GEMI_HUMAN	-11.247	-21.369	23	37	62.16%	No expression data available	1	0.492108424	0.621621622	0.305905236	-3.440516193
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	2xusB	2xusAB	BRMS1_HUMAN - BRMS1_HUMAN	-6.853	-13.471	24	41	58.54%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.003130301	0.585365854	0.001832371	-0.012557239
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	JUN_HUMAN	Transcription factor AP-1	1junB	1junAB	JUN_HUMAN - JUN_HUMAN	-9.563	-16.578	23	37	62.16%	No expression data available	1	0.32959884	0.621621622	0.204885766	-1.959322576
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	A4_HUMAN	Amyloid-beta A4 protein	2lohA	2lohAB	A4_HUMAN - A4_HUMAN	-6.812	-9.397	24	33	72.73%	No expression data available	1	0	0.727272727	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NUP54_HUMAN	Nucleoporin p54	4jnuA	4jnuAD	NUP54_HUMAN - NUP54_HUMAN	-7.568	-17.834	24	40	60.00%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.175932169	0.6	0.105559301	-0.798872792
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	VIME_HUMAN	Vimentin	3ssuB	3ssuAB	VIME_HUMAN - VIME_HUMAN	-10.9	-24.029	24	39	61.54%	No expression data available	1	0.209464289	0.615384615	0.128901101	-1.405021998
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	TYOBP_HUMAN	TYRO protein tyrosine kinase-binding protein	4wo1C	4wo1BC	TYOBP_HUMAN - TYOBP_HUMAN	-7.825	-11.865	25	30	83.33%	No expression data available	1	0	0.833333333	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NUP54_HUMAN	Nucleoporin p54	4jnuB	4jnuBD	NUP54_HUMAN - NUP54_HUMAN	-8.244	-10.261	24	39	61.54%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.162465063	0.615384615	0.0999785	-0.824222754
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2	5ob4B	5ob4AB	ERBB2_HUMAN - ERBB2_HUMAN	-7.095	-9.326	20	20	100.00%	No expression data available	0.5	0.318234186	0.5	0.159117093	-1.128935774
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PLEC_HUMAN	Plectin	4gdoB	4gdoAB	PLEC_HUMAN - PLEC_HUMAN	-5.626	-17.415	24	39	61.54%	No expression data available	1	0.222381984	0.615384615	0.136850452	-0.769920642
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	P73_HUMAN	Tumor protein p73	2nb1D	2nb1BD	P73_HUMAN - P73_HUMAN	-6.884	-15.323	19	30	63.33%	No expression data available	1	0.372822692	0.633333333	0.236121038	-1.625457227
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	TSC1_HUMAN	Hamartin	5ejcF	5ejcCF	TSC1_HUMAN - TSC1_HUMAN	-6.745	-8.161	22	22	100.00%	No expression data available	0.5	0.151723491	0.5	0.075861745	-0.511687472
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	TYOBP_HUMAN	TYRO protein tyrosine kinase-binding protein	4wolB	4wolBC	TYOBP_HUMAN - TYOBP_HUMAN	-8.132	-10.255	24	28	85.71%	No expression data available	0.5	0	0.428571429	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	MYO10_HUMAN	Unconventional myosin-X	2lw9B	2lw9AB	MYO10_HUMAN - MYO10_HUMAN	-9.576	-16.209	23	44	52.27%	No expression data available	1	0.815389425	0.522727273	0.42622629	-4.081542954
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PK2L1_HUMAN	Polycystic kidney disease 2-like 1 protein	3te3B	3te3AB	PK2L1_HUMAN - PK2L1_HUMAN	-7.912	-11.332	23	34	67.65%	No expression data available	1	0.451185012	0.676470588	0.305213391	-2.414848347
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1	4pasA	4pasAB	GABR1_HUMAN - GABR2_HUMAN	-7.298	-21.342	23	36	63.89%	No expression data available	1	0.576074139	0.638888889	0.368047366	-2.68600968
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	CAMP_HUMAN	Cathelicidin antimicrobial peptide	5nntB	5nntAB	CAMP_HUMAN - CAMP_HUMAN	-7.157	-11.099	23	26	88.46%	No expression data available	0.5	0.04588262	0.442307692	0.020294236	-0.145245844
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	GLPA_HUMAN	Glycophorin-A	1afoA	1afoAB	GLPA_HUMAN - GLPA_HUMAN	-5.02	-7.06	22	25	88.00%	No expression data available	0.5	0.019565752	0.44	0.008608931	-0.043216833
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	GCC2_HUMAN	GRIP and coiled-coil domain-containing protein 2	3bbpE	3bbpDE	GCC2_HUMAN - GCC2_HUMAN	-7.036	-18.323	23	38	60.53%	No expression data available	1	0.12205309	0.605263158	0.073874239	-0.519779145
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	FIBB_HUMAN	Fibrinogen beta chain	2a45K	2a45JK	FIBB_HUMAN - FIBA_HUMAN	-8.002	-11.48	24	28	85.71%	No expression data available	0.5	0.162465063	0.428571429	0.069627884	-0.557162327
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4n3yA	4n3yAC	RABX5_HUMAN - RABE1_HUMAN	-7.565	-16.3	24	38	63.16%	No expression data available	1	0.056443806	0.631578947	0.03564872	-0.269682564
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	A16L1_HUMAN	Autophagy-related protein 16-1	5d7gB	5d7gBD	A16L1_HUMAN - A16L1_HUMAN	-6.566	-9.454	16	18	88.89%	No expression data available	0.5	0	0.444444444	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	MYC_HUMAN	Myc proto-oncogene protein	1a93A	1a93AB	MYC_HUMAN - MAX_MOUSE	-10.402	-12.155	24	32	75.00%	No expression data available	1	0.223675101	0.75	0.167756326	-1.7450013
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PK2L1_HUMAN	Polycystic kidney disease 2-like 1 protein	3te3A	3te3AC	PK2L1_HUMAN - PK2L1_HUMAN	-6.892	-11.674	24	33	72.73%	No expression data available	1	0.372490765	0.727272727	0.270902375	-1.867059166
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NUP54_HUMAN	Nucleoporin p54	4jnvC	4jnvBC	NUP54_HUMAN - NUP54_HUMAN	-9.185	-13.013	24	30	80.00%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.162465063	0.8	0.12997205	-1.19379328
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	P73_HUMAN	Tumor protein p73	2wqjV	2wqjUV	P73_HUMAN - P73_HUMAN	-7.801	-23.321	21	28	75.00%	No expression data available	0.5	0.56350167	0.375	0.211313126	-1.648453699
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	P73_HUMAN	Tumor protein p73	2wqjZ	2wqj1Z	P73_HUMAN - P73_HUMAN	-5.953	-8.324	20	21	95.24%	No expression data available	0.5	0.162465063	0.476190476	0.077364316	-0.46054977
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	GPS2_HUMAN	G protein pathway suppressor 2	2l5gA	2l5gAB	GPS2_HUMAN - NCOR2_HUMAN	-8.821	-12.421	23	37	62.16%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.358187832	0.621621622	0.222657301	-1.964060049
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PLEC_HUMAN	Plectin	4gdoE	4gdoEF	PLEC_HUMAN - PLEC_HUMAN	-9.406	-9.829	21	22	95.45%	No expression data available	0.5	0	0.477272727	0	0
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NUP54_HUMAN	Nucleoporin p54	4jnvB	4jnvAB	NUP54_HUMAN - NUP54_HUMAN	-6.63	-11.414	23	31	74.19%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.162465063	0.741935484	0.120538595	-0.799170884
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NUP54_HUMAN	Nucleoporin p54	4jnvB	4jnvBC	NUP54_HUMAN - NUP54_HUMAN	-6.357	-13.013	23	31	74.19%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.162465063	0.741935484	0.120538595	-0.766263847
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	TSC1_HUMAN	Hamartin	4z6yF	4z6yCF	TSC1_HUMAN - TSC1_HUMAN	-7.045	-13.981	23	29	79.31%	No expression data available	0.5	0.589385911	0.396551724	0.233721999	-1.646571484
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	P73_HUMAN	Tumor protein p73	2wqjF	2wqjCF	P73_HUMAN - P73_HUMAN	-8.39	-7.416	19	19	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.877423537
5jooA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	NUP54_HUMAN	Nucleoporin p54	4jnvA	4jnvAD	NUP54_HUMAN - NUP54_HUMAN	-10.205	-11.962	24	27	88.89%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	0.5	0.1645972	0.444444444	0.073154311	-0.746539744
