Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	CALM1_HUMAN	Calmodulin-1	6cnnE	6cnnAE	CALM1_HUMAN - KCNN4_HUMAN	-9.255	-19.306	27	38	71.05%	No expression data available	1	0.663434263	0.710526316	0.471387503	-4.362691338	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	CALM2_HUMAN	Calmodulin-2	2m0jA	2m0jAB	CALM2_HUMAN - CNGA2_RAT	-9.914	-24.612	24	28	85.71%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.941437881	0.428571429	0.403473378	-4.000035066	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	ING5_HUMAN	Inhibitor of growth protein 5	5me8B	5me8AB	ING5_HUMAN - ING5_HUMAN	-8.806	-14.381	24	35	68.57%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.38226162	0.685714286	0.262122254	-2.308248564	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	FADD_HUMAN	FAS-associated death domain protein	3ezqB	3ezqAB	FADD_HUMAN - TNR6_HUMAN	-5.186	-17.151	33	51	64.71%	No expression data available	1.5	0.089912757	0.970588235	0.087268264	-0.452573216	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	CALM2_HUMAN	Calmodulin-2	2jziA	2jziAB	CALM2_HUMAN - PP2BA_HUMAN	-14.791	-15.88	24	24	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.965108591	0.5	0.482554296	-7.137460588	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	EEA1_HUMAN	Early endosome antigen 1	1jocA	1jocAB	EEA1_HUMAN - EEA1_HUMAN	-11.006	-39.781	51	76	67.11%	No expression data available	1.5	0.483536503	1.006578947	0.486717664	-5.356814612	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RM46_HUMAN	"39S ribosomal protein L46, mitochondrial"	3j7ye	3j7y8e	RM46_HUMAN - RM40_HUMAN	-6.039		30	32	93.75%	No expression data available	1	0.835296969	0.9375	0.783090909	-4.729085997	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	STIM1_HUMAN	Stromal interaction molecule 1	3teqD	3teqCD	STIM1_HUMAN - STIM1_HUMAN	-6.334	-7.258	22	22	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.514526853	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2	4b7yD	4b7yAD	MSL2_HUMAN - MSL1_HUMAN	-5.266	-8.391	28	28	100.00%	No expression data available	0.5	0.08190861	0.5	0.040954305	-0.215665371	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	CALM2_HUMAN	Calmodulin-2	2ll6A	2ll6AB	CALM2_HUMAN - NOS2_HUMAN	-14.39	-21.641	17	17	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.203761014	0.5	0.101880507	-1.466060493	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	NDUC2_HUMAN	NADH dehydrogenase [ubiquinone] 1 subunit C2	5xtcg	5xtcfg	NDUC2_HUMAN - NDUC1_HUMAN	-8.591	-15.521	31	31	100.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.193999031	1	0.193999031	-1.666645676	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	NDEL1_HUMAN	Nuclear distribution protein nudE-like 1	2v66B	2v66BC	NDEL1_HUMAN - NDEL1_HUMAN	-13.752	-22.967	48	75	64.00%	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, nasopharynx, oral mucosa, placenta, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1.5	0.134940923	0.96	0.129543286	-1.781479269	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	CALM2_HUMAN	Calmodulin-2	4ovnA	4ovnAF	CALM2_HUMAN - SCN5A_HUMAN	-12.469	-16.274	31	39	79.49%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.916061568	0.794871795	0.728151503	-9.079321089	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	NDEL1_HUMAN	Nuclear distribution protein nudE-like 1	2v66C	2v66BC	NDEL1_HUMAN - NDEL1_HUMAN	-9.145	-22.967	50	79	63.29%	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, nasopharynx, oral mucosa, placenta, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1.5	0.134940923	0.949367089	0.128108471	-1.171551969	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	TLE1_HUMAN	Transducin-like enhancer protein 1	4om2D	4om2AD	TLE1_HUMAN - TLE1_HUMAN	-6.202	-6.723	17	17	100.00%	No expression data available	0.5	0	0.5	0	0	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	ELOC_HUMAN	Elongin-C	4n9fB	4n9fBw	ELOC_HUMAN - CUL5_HUMAN	-5.665	-7.023	16	27	59.26%	No expression data available	0.5	0.285485764	0.296296296	0.084588375	-0.479193142	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	PLK4_HUMAN	Serine/threonine-protein kinase PLK4	4yypA	4yypAB	PLK4_HUMAN - STIL_HUMAN	-6.533	-14.472	31	32	96.88%	"appendix, bone marrow, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, vagina"	1	0.966988111	0.96875	0.936769732	-6.119916662	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a	5ydkE	5ydkEF	RS27A_HUMAN - RN168_HUMAN	-6.905	-8.096	22	22	100.00%	No expression data available	0.5	0.265027401	0.5	0.1325137	-0.9150071	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RAB3I_HUMAN	Rab-3A-interacting protein	6f6pD	6f6pBD	RAB3I_HUMAN - RAB3I_HUMAN	-11.299	-25.589	46	49	93.88%	No expression data available	1	0.108654808	0.93877551	0.102002473	-1.152525937	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	SF01_HUMAN	Splicing factor 1	4fxxA	4fxxAB	SF01_HUMAN - SF01_HUMAN	-6.674	-12.505	28	36	77.78%	No expression data available	1	0.252218436	0.777777778	0.196169894	-1.309237875	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RAB3I_HUMAN	Rab-3A-interacting protein	6f6pB	6f6pBD	RAB3I_HUMAN - RAB3I_HUMAN	-7.185	-25.589	49	52	94.23%	No expression data available	1.5	0.108654808	1.413461538	0.153579392	-1.103467929	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	TLE1_HUMAN	Transducin-like enhancer protein 1	4om2A	4om2AD	TLE1_HUMAN - TLE1_HUMAN	-7.432	-6.723	17	17	100.00%	No expression data available	0.5	0	0.5	0	0	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7G	3mq7GH	BST2_HUMAN - BST2_HUMAN	-15.631	-18.19	49	81	60.49%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.409877229	1.209876543	0.495900845	-7.751426114	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	HIP1_HUMAN	Huntingtin-interacting protein 1	2qa7A	2qa7AB	HIP1_HUMAN - HIP1_HUMAN	-9.624	-34.947	50	70	71.43%	No expression data available	1.5	0.765000842	1.071428571	0.81964376	-7.888251543	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7I	3mq7IJ	BST2_HUMAN - BST2_HUMAN	-11.949	-31.598	50	81	61.73%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.284982846	1.234567901	0.351830674	-4.204024725	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RAB3I_HUMAN	Rab-3A-interacting protein	6f6pC	6f6pAC	RAB3I_HUMAN - RAB3I_HUMAN	-5.393	-26.177	49	52	94.23%	No expression data available	1.5	0.052054695	1.413461538	0.073577309	-0.396802426	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	NUP58_HUMAN	Nucleoporin p58/p45	4jo7C	4jo7AC	NUP58_HUMAN - NUP58_HUMAN	-7.732	-21.551	41	50	82.00%	"appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.148684712	1.23	0.182882196	-1.414045139	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	MYC_HUMAN	Myc proto-oncogene protein	5i4zB	5i4zAB	MYC_HUMAN - MYC_HUMAN	-8.752	-39.555	49	65	75.38%	No expression data available	1.5	0.894596129	1.130769231	1.011581777	-8.853363713	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7J	3mq7IJ	BST2_HUMAN - BST2_HUMAN	-13.116	-31.598	49	81	60.49%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.284982846	1.209876543	0.344794061	-4.522318899	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	KCNQ4_HUMAN	Potassium voltage-gated channel subfamily KQT member 4	6b8pG	6b8pAG	KCNQ4_HUMAN - KCNQ4_HUMAN	-8.282	-6.596	17	17	100.00%	No expression data available	0.5	0	0.5	0	0	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7A	3mq7AD	BST2_HUMAN - BST2_HUMAN	-5.067	-14.097	38	39	97.44%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.307805524	0.974358974	0.299913075	-1.51965955	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	LRRF1_HUMAN	Leucine-rich repeat flightless-interacting protein 1	4h22B	4h22AB	LRRF1_HUMAN - LRRF1_HUMAN	-11.798	-40.59	51	81	62.96%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, thyroid gland, tonsil, urinary bladder, vagina"	2	0.486370257	1.259259259	0.612466249	-7.225876811	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	C8AP2_HUMAN	CASP8-associated protein 2	6aozC	6aozCD	C8AP2_HUMAN - C8AP2_HUMAN	-13.315	-38.2	50	68	73.53%	No expression data available	1.5	0.520374087	1.102941176	0.573942007	-7.642037826	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7H	3mq7GH	BST2_HUMAN - BST2_HUMAN	-6.895	-18.19	50	81	61.73%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.409877229	1.234567901	0.506021271	-3.489016662	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	VIME_HUMAN	Vimentin	1gk4B	1gk4AB	VIME_HUMAN - VIME_HUMAN	-15.687	-44.842	50	79	63.29%	No expression data available	1.5	0.405396647	0.949367089	0.384870234	-6.037459363	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	MAX_HUMAN	Protein max	1nkpB	1nkpAB	MAX_HUMAN - MYC_HUMAN	-8.817	-35.197	47	62	75.81%	No expression data available	1.5	0.925868092	1.137096774	1.052801621	-9.282551891	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RABE1_HUMAN	Rab GTPase-binding effector protein 1	4n3yB	4n3yAB	RABE1_HUMAN - RABX5_HUMAN	-7.368	-9.856	35	35	100.00%	No expression data available	1	0.052749265	1	0.052749265	-0.388656587	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	NEMO_HUMAN	NF-kappa-B essential modulator	4bwnA	4bwnAB	NEMO_HUMAN - NEMO_HUMAN	-10.059	-48.573	50	86	58.14%	No expression data available	2	0.557069135	1.162790698	0.647754808	-6.515765618	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	HEXI1_HUMAN	Protein HEXIM1	3s9gB	3s9gAB	HEXI1_HUMAN - HEXI1_HUMAN	-14.834	-39.064	50	76	65.79%	No expression data available	1.5	0.710495644	0.986842105	0.701147017	-10.40081485	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	AF10_HUMAN	Protein AF-10	6ckoA	6ckoAC	AF10_HUMAN - F1Q4W7_DANRE	-15.327	-24.829	47	48	97.92%	No expression data available	1	0.141305231	0.979166667	0.138361372	-2.120664744	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1	1go4H	1go4GH	MD1L1_HUMAN - MD1L1_HUMAN	-17.21	-25.707	41	57	71.93%	No expression data available	1.5	0.817783739	1.078947368	0.882345613	-15.18516801	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	SNP29_HUMAN	Synaptosomal-associated protein 29	4wy4C	4wy4CD	SNP29_HUMAN - SNP29_HUMAN	-13.411	-30.053	50	65	76.92%	No expression data available	1.5	0.626566154	1.153846154	0.722960947	-9.69562926	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RABE1_HUMAN	Rab GTPase-binding effector protein 1	4n3yC	4n3yBC	RABE1_HUMAN - RABE1_HUMAN	-7.114	-35.549	50	83	60.24%	No expression data available	2	0.767332418	1.204819277	0.924496889	-6.576870868	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1	3mtsB	3mtsAB	SUV91_HUMAN - SUV91_HUMAN	-5.097	0	15	25	60.00%	No expression data available	0.5	0.137771618	0.3	0.041331485	-0.21066658	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	RABE1_HUMAN	Rab GTPase-binding effector protein 1	4n3zB	4n3zBC	RABE1_HUMAN - RABE1_HUMAN	-13.113	-33.232	55	82	67.07%	No expression data available	2	0.638582634	1.341463415	0.85663524	-11.2330579	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	VIME_HUMAN	Vimentin	5whfH	5whfEH	VIME_HUMAN - VIME_HUMAN	-6.544	-5.247	33	33	100.00%	No expression data available	1	0.162465063	1	0.162465063	-1.06317137	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	CALM2_HUMAN	Calmodulin-2	4q57A	4q57AB	CALM2_HUMAN - PLEC_MOUSE	-6.04	-13.413	24	24	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.08618551	0.5	0.043092755	-0.260280241	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	HEXI1_HUMAN	Protein HEXIM1	3s9gA	3s9gAB	HEXI1_HUMAN - HEXI1_HUMAN	-11.197	-39.064	50	75	66.67%	No expression data available	1.5	0.710495644	1	0.710495644	-7.955419724	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	VIME_HUMAN	Vimentin	1gk4D	1gk4DF	VIME_HUMAN - VIME_HUMAN	-5.387	-3.565	22	22	100.00%	No expression data available	0.5	0	0.5	0	0	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	MAX_HUMAN	Protein max	1nlwB	1nlwAB	MAX_HUMAN - MAD1_HUMAN	-5.014	-31.333	43	60	71.67%	No expression data available	1.5	0.92830837	1.075	0.997931497	-5.003628528	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	TACC3_HUMAN	Transforming acidic coiled-coil-containing protein 3	5lxnA	5lxnAB	TACC3_HUMAN - TACC3_HUMAN	-12.144	-26.521	48	73	65.75%	No expression data available	1.5	0.057335748	0.98630137	0.056550327	-0.686747166	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	MAFA_HUMAN	Transcription factor MafA	4eotA	4eotAB	MAFA_HUMAN - MAFA_HUMAN	-14.244	-17.333	46	46	100.00%	No expression data available	1	0.170990871	1	0.170990871	-2.435593973	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	MAD1_HUMAN	Max dimerization protein 1	1nlwA	1nlwAB	MAD1_HUMAN - MAX_HUMAN	-10.364	-31.333	41	60	68.33%	No expression data available	1.5	0.92830837	1.025	0.951516079	-9.861512641	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	THA11_HUMAN	THAP domain-containing protein 11	5ajsB	5ajsAB	THA11_HUMAN - THA11_HUMAN	-18.477	-32.604	49	60	81.67%	No expression data available	1.5	0.719986154	1.225	0.881983039	-16.29640062	
7nx5A	EPSTEIN-BARR VIRUS (STRAIN B95-8)	TRANS-ACTIVATOR PROTEIN BZLF1	NUP58_HUMAN	Nucleoporin p58/p45	4jo9B	4jo9AB	NUP58_HUMAN - NUP54_HUMAN	-5.54	-19.364	35	35	100.00%	"appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.459813388	1	0.459813388	-2.547366169	
