Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 19
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-6.435	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-3.737634816	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	HVCN1_HUMAN	Voltage-gated hydrogen channel 1	3a2aB	3a2aAB	HVCN1_HUMAN - HVCN1_HUMAN	-7.095	-21.108	25	41	60.98%	No expression data available	1	0.719951511	0.609756098	0.438994824	-3.114668274	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-5.054	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-6.992	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-1.269766657	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2meuB	2meuAB	VGFR2_HUMAN - VGFR2_HUMAN	-5.041	-6.608	25	35	71.43%	No expression data available	1	0.345504839	0.714285714	0.246789171	-1.244064209	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	NUP54_HUMAN	Nucleoporin p54	4jnuD	4jnuAD	NUP54_HUMAN - NUP54_HUMAN	-6.813	-17.834	25	36	69.44%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.175932169	0.694444444	0.122175117	-0.832379074	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	5huzB	5huzAB	MYPT1_HUMAN - MYPT1_HUMAN	-8.571	-12.668	31	44	70.45%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.704545455	0.18672385	-1.600410122	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4n3yA	4n3yAB	RABX5_HUMAN - RABE1_HUMAN	-8.295	-9.856	25	42	59.52%	No expression data available	1	0.052749265	0.595238095	0.031398372	-0.260449498	
4e5jD	INFLUENZA A VIRUS	POLYMERASE PROTEIN PA	EPHA2_HUMAN	Ephrin type-A receptor 2	2k9yA	2k9yAB	EPHA2_HUMAN - EPHA2_HUMAN	-5.945	-8.385	25	30	83.33%	No expression data available	1	0	0.833333333	0	0	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	DHE3_HUMAN	"Glutamate dehydrogenase 1, mitochondrial"	1l1fA	1l1fAB	DHE3_HUMAN - DHE3_HUMAN	-7.365	-17.12	60	70	85.71%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.986169935	1.285714286	1.267932773	-9.338324875	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	AADAT_HUMAN	"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"	3dc1C	3dc1AC	AADAT_HUMAN - AADAT_HUMAN	-5.352	-5.614	32	38	84.21%	No expression data available	1	0	0.842105263	0	0	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	IPO4_HUMAN	Importin-4	5xahD	5xahCD	IPO4_HUMAN - IPO4_HUMAN	-9.812	-16.895	42	47	89.36%	No expression data available	1	0.886253419	0.893617021	0.79197114	-7.77082083	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	TPST1_HUMAN	Protein-tyrosine sulfotransferase 1	5wriB	5wriAB	TPST1_HUMAN - TPST1_HUMAN	-7.455	-25.527	51	60	85.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.999610168	1.275	1.274502965	-9.501419602	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	PLCG1_HUMAN	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"	4ey0D	4ey0CD	PLCG1_HUMAN - PLCG1_HUMAN	-5.436	-6.489	18	27	66.67%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.333333333	0.054155021	-0.294386693	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	TERF2_HUMAN	Telomeric repeat-binding factor 2	5wqdF	5wqdCF	TERF2_HUMAN - TERF2_HUMAN	-5.593	-3.008	24	26	92.31%	No expression data available	0.5	0	0.461538462	0	0	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	HIP1R_HUMAN	Huntingtin-interacting protein 1-related protein	1r0dA	1r0dAI	HIP1R_HUMAN - HIP1R_HUMAN	-5.185	-4.155	35	42	83.33%	No expression data available	1	4.1781076491e-06	0.833333333	3.48175637425e-06	-1.81E-05	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	SHRM2_HUMAN	Protein Shroom2	5f5pA	5f5pAC	SHRM2_HUMAN - ROCK1_HUMAN	-8.561	-11.075	29	29	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.350035012	0.5	0.175017506	-1.49832487	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	B2CL1_HUMAN	Bcl-2-like protein 1	4qveA	4qveAB	B2CL1_HUMAN - BID_HUMAN	-5.589	-25.8	24	24	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, pancreas, rectum, salivary gland, skeletal muscle, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.995644787	0.5	0.497822393	-2.782329357	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	BIRC5_HUMAN	Baculoviral IAP repeat-containing protein 5	2qfaA	2qfaAC	BIRC5_HUMAN - INCE_HUMAN	-9.211	-19.543	41	41	100.00%	No expression data available	1	0.161813573	1	0.161813573	-1.490464822	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	TOB1_HUMAN	Protein Tob1	2z15A	2z15AD	TOB1_HUMAN - TOB1_HUMAN	-6.218	-7.766	15	27	55.56%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, oral mucosa, ovary, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.712894895	0.277777778	0.19802636	-1.231327904	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	FAK2_HUMAN	Protein-tyrosine kinase 2-beta	3u3fC	3u3fAC	FAK2_HUMAN - FAK2_HUMAN	-8.276	-7.411	31	34	91.18%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, seminal vesicle, skin 1, skin 2, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.000240305	0.911764706	0.000219101	-0.001813282	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	PLMN_HUMAN	Plasminogen	2dohX	2dohCX	PLMN_HUMAN - PAM_STRPY	-6.66	-9.379	19	19	100.00%	No expression data available	0.5	0.654619819	0.5	0.327309909	-2.179883997	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF	3qzsB	3qzsAB	BPTF_HUMAN - BPTF_HUMAN	-6.09	-5.635	25	25	100.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, fallopian tube, gallbladder, kidney, liver, lung, nasopharynx, ovary, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0	0.5	0	0	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	SHRPN_HUMAN	Sharpin	4emoC	4emoBC	SHRPN_HUMAN - SHRPN_HUMAN	-7.766	-16.166	28	37	75.68%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.281027656	0.756756757	0.212669577	-1.651591937	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	CTNB1_HUMAN	Catenin beta-1	3slaA	3slaAC	CTNB1_HUMAN - CTNB1_HUMAN	-5.975	-9.047	25	29	86.21%	No expression data available	0.5	0.507920296	0.431034483	0.218931162	-1.308113693	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	STIM1_HUMAN	Stromal interaction molecule 1	3teqC	3teqAC	STIM1_HUMAN - STIM1_HUMAN	-7.663	-18.702	35	43	81.40%	No expression data available	1	0.042376592	0.813953488	0.034492575	-0.264316602	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	ULK3_HUMAN	Serine/threonine-protein kinase ULK3	4wzxA	4wzxAE	ULK3_HUMAN - IST1_HUMAN	-5.857	-10.644	16	16	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.805204233	0.5	0.402602117	-2.358040596	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	TLE1_HUMAN	Transducin-like enhancer protein 1	4om2B	4om2BC	TLE1_HUMAN - TLE1_HUMAN	-6.785	-5.004	16	16	100.00%	No expression data available	0.5	0	0.5	0	0	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a	5ydkD	5ydkAD	RS27A_HUMAN - RN168_HUMAN	-6.232	-11.207	24	24	100.00%	No expression data available	0.5	0.40131234	0.5	0.20065617	-1.250489251	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	SHRM2_HUMAN	Protein Shroom2	5f5pG	5f5pEG	SHRM2_HUMAN - ROCK1_HUMAN	-9.929	-11.339	30	30	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.284540028	1	0.284540028	-2.82519794	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	EPHB2_HUMAN	Ephrin type-B receptor 2	1b4fB	1b4fAB	EPHB2_HUMAN - EPHB2_HUMAN	-7.298	-10.907	17	26	65.38%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.018186108	0.326923077	0.005945458	-0.043389955	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	SYCP1_HUMAN	Synaptonemal complex protein 1	4ytoA	4ytoAB	SYCP1_HUMAN - SYCP1_HUMAN	-9.719	-26.362	67	95	70.53%	No expression data available	2	0.038585929	1.410526316	0.054426468	-0.528970845	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	CHM4B_HUMAN	Charged multivesicular body protein 4b	4abmD	4abmBD	CHM4B_HUMAN - CHM4B_HUMAN	-5.272	-6.915	29	36	80.56%	No expression data available	1	0.162465063	0.805555556	0.130874634	-0.689971069	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	SAV1_HUMAN	Protein salvador homolog 1	6ao5B	6ao5AB	SAV1_HUMAN - STK3_HUMAN	-5.323	-35.682	45	59	76.27%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, urinary bladder"	1.5	0.8899271	1.144067797	1.018136936	-5.419542913	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	VIME_HUMAN	Vimentin	4yv3C	4yv3AC	VIME_HUMAN - VIME_HUMAN	-5.626	-19.031	55	62	88.71%	No expression data available	1.5	0.213924842	1.330645161	0.284658055	-1.60148622	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	STK4_HUMAN	Serine/threonine-protein kinase 4	2jo8B	2jo8AB	STK4_HUMAN - STK4_HUMAN	-9.739	-18.541	42	48	87.50%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.972939378	0.875	0.851321956	-8.291024526	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	RABE1_HUMAN	Rab GTPase-binding effector protein 1	1tu3G	1tu3FG	RABE1_HUMAN - RABE1_HUMAN	-7.954	-23.487	42	46	91.30%	No expression data available	1	0.706160094	0.913043478	0.644754868	-5.128380223	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	BST2_HUMAN	Bone marrow stromal antigen 2	2x7aC	2x7aCD	BST2_HUMAN - BST2_HUMAN	-9.833	-16.157	46	49	93.88%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.142951853	0.93877551	0.134199698	-1.319585635	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	MYCBP_HUMAN	c-Myc-binding protein	2yy0A	2yy0AB	MYCBP_HUMAN - MYCBP_HUMAN	-9.624	-20.033	37	37	100.00%	No expression data available	1	0.814583917	1	0.814583917	-7.839555616	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	ITA2B_HUMAN	Integrin alpha-IIb	2k9jA	2k9jAB	ITA2B_HUMAN - ITB3_HUMAN	-5.693	-9.776	36	36	100.00%	No expression data available	1	0	1	0	0	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	5huzB	5huzAB	MYPT1_HUMAN - MYPT1_HUMAN	-5.724	-12.668	42	44	95.45%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.954545455	0.252980701	-1.44806153	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3hfeB	3hfeBC	KCNQ1_HUMAN - KCNQ1_HUMAN	-7.828	-6.117	23	23	100.00%	No expression data available	0.5	0.41254231	0.5	0.206271155	-1.614690601	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	NTRK1_HUMAN	High affinity nerve growth factor receptor	2n90B	2n90AB	NTRK1_HUMAN - NTRK1_HUMAN	-6.259	-4.477	21	27	77.78%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	0.5	0	0.388888889	0	0	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	EMAL4_HUMAN	Echinoderm microtubule-associated protein-like 4	4cgcA	4cgcAB	EMAL4_HUMAN - EMAL4_HUMAN	-8.355	-7.551	25	25	100.00%	No expression data available	0.5	0.110139288	0.5	0.055069644	-0.460106874	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	EMAL4_HUMAN	Echinoderm microtubule-associated protein-like 4	4cgcC	4cgcAC	EMAL4_HUMAN - EMAL4_HUMAN	-6.196	-5.808	26	26	100.00%	No expression data available	0.5	0.149278827	0.5	0.074639413	-0.462465805	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein	2gl7F	2gl7DF	BCL9_HUMAN - CTNB1_HUMAN	-5.153	-8.358	23	26	88.46%	No expression data available	0.5	0.209159365	0.442307692	0.092512796	-0.476718439	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	TPIS_HUMAN	Triosephosphate isomerase	1klgC	1klgAC	TPIS_HUMAN - DRA_HUMAN	-6.232	-13.046	38	45	84.44%	No expression data available	1	0.209159365	0.844444444	0.176623464	-1.100717427	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	UBAP1_HUMAN	Ubiquitin-associated protein 1	5lm1B	5lm1AB	UBAP1_HUMAN - PTN23_HUMAN	-6.065	-11.682	41	46	89.13%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.557554565	0.891304348	0.496950808	-3.01400665	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	NDEL1_HUMAN	Nuclear distribution protein nudE-like 1	2v66D	2v66CD	NDEL1_HUMAN - NDEL1_HUMAN	-5.293	-21.422	55	75	73.33%	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, nasopharynx, oral mucosa, placenta, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1.5	0.103920751	1.1	0.114312826	-0.60505779	
6pd5A	INFLUENZA A VIRU	HEMAGGLUTININ	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5eoaC	5eoaAC	TBK1_HUMAN - OPTN_HUMAN	-5.309	-19.034	44	49	89.80%	No expression data available	1	0.098883375	0.897959184	0.088793234	-0.471403281	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	CTNB1_HUMAN	Catenin beta-1	1t08A	1t08AB	CTNB1_HUMAN - CNBP1_HUMAN	-5.263	-7.902	27	29	93.10%	No expression data available	0.5	0.617797118	0.465517241	0.28759521	-1.513613591	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	IPO4_HUMAN	Importin-4	5xahD	5xahCD	IPO4_HUMAN - IPO4_HUMAN	-10.613	-16.895	40	47	85.11%	No expression data available	1	0.886253419	0.85106383	0.754258229	-8.004942584	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	NU2M_HUMAN	NADH-ubiquinone oxidoreductase chain 2	5xtci	5xtcir	NU2M_HUMAN - NU4M_HUMAN	-9.033	-18.114	50	55	90.91%	No expression data available	1.5	0.578634642	1.363636364	0.789047239	-7.127463711	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	ARGI2_HUMAN	"Arginase-2, mitochondrial"	1pq3B	1pq3AB	ARGI2_HUMAN - ARGI2_HUMAN	-6.605	-4.352	17	24	70.83%	No expression data available	0.5	0.727383003	0.354166667	0.257614814	-1.701545844	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahB	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-7.959	-8.662	27	27	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.832349694	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	CNOT9_HUMAN	CCR4-NOT transcription complex subunit 9	5lswA	5lswAB	CNOT9_HUMAN - Q9VV48_DROME	-6.549	-16.198	20	21	95.24%	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.863791789	0.476190476	0.411329423	-2.693796393	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	ABL1_HUMAN	Tyrosine-protein kinase ABL1	3pyyA	3pyyAB	ABL1_HUMAN - ABL1_HUMAN	-5.793	-15.086	34	42	80.95%	No expression data available	1	0.512661367	0.80952381	0.415011583	-2.404162098	
6cf5B	INFLUENZA A VIRUS (A/VIET NAM/1203/2004(H5N1))	HEMAGGLUTININ	HPT_HUMAN	Haptoglobin	5hu6C	5hu6CD	HPT_HUMAN - Q581F2_TRYB2	-6.373	-5.38	22	30	73.33%	No expression data available	1	0.083414157	0.733333333	0.061170382	-0.389838845	
